Flower width,Flower height
34,3
18,32
5,26
32,43
29,1
30,37
18,1
26,1
1,27
18,5
15,59
14,19
3,56
18,55
15,56
28,46
9,38
16,35
27,4
31,27
10,7
5,19
9,51
26,30
10,63
26,53
23,52
27,53
21,51
30,39
30,9
8,14
5,36
21,40
2,66
26,23
32,26
18,35
2,55
31,47
27,24
24,54
26,18
14,12
12,65
28,46
20,40
34,32
3,18
21,67
31,23
24,3
33,20
8,64
26,61
3,58
23,13
5,33
26,17
17,28
24,46
4,46
26,3
15,14
11,11
28,1
18,14
2,7
5,49
5,28
30,3
11,42
21,63
1,19
25,65
22,5
26,19
24,18
13,48
32,17
20,38
29,22
1,30
5,1
18,36
30,50
5,37
25,63
11,54
5,18
34,11
5,4
23,7
11,14
31,36
1,25
22,63
23,21
16,8
16,10
8,65
23,36
25,12
11,63
15,2
24,52
23,30
27,3
3,15
14,62
19,26
29,34
35,21
14,18
2,20
29,10
20,27
17,31
34,45
6,67
25,25
20,13
31,18
25,19
23,7
3,7
28,55
25,30
17,46
35,40
12,48
23,22
16,59
17,19
15,28
9,29
1,56
28,7
26,27
28,33
26,31
7,35
29,32
2,38
17,30
24,42
22,34
20,38
17,29
12,16
5,27
33,10
5,17
21,35
17,31
35,10
31,59
21,54
22,37
11,61
15,65
30,6
23,53
30,28
32,59
5,23
10,48
34,21
18,12
7,7
3,3
22,47
34,66
3,28
3,28
5,64
19,61
31,2
3,35
11,40
20,2
29,56
24,65
29,51
34,31
12,4
15,7
22,52
21,30
3,49
10,43
26,12
17,63
17,1
25,2
9,27
32,19
1,20
30,29
11,66
14,51
12,38
6,33
22,18
28,57
10,47
31,58
6,16
10,65
8,19
12,22
13,15
17,15
31,40
30,5
14,55
32,5
8,21
2,27
15,32
22,59
6,8
24,23
19,8
12,45
1,61
26,27
34,40
20,38
32,32
27,37
6,54
23,29
16,9
14,56
9,50
19,41
5,6
7,40
11,65
22,36
2,42
8,20
34,57
12,25
29,19
4,36
28,12
35,56
6,53
9,21
20,4
27,32
29,7
32,33
21,38
23,16
28,17
20,61
18,43
7,65
10,47
7,31
20,50
28,44
24,44
1,49
29,61
32,40
28,49
32,65
23,58
34,57
19,45
16,13
25,54
19,15
29,24
32,52
26,13
24,29
22,50
8,40
4,55
28,57
30,4
27,54
22,32
32,21
16,26
12,2
30,62
12,17
28,52
28,67
28,12
24,63
6,12
25,67
35,22
4,48
2,38
23,29
32,22
1,25
24,31
31,19
23,32
6,19
28,12
11,31
15,10
15,36
1,5
16,33
6,43
4,11
16,60
8,45
14,65
4,37
34,28
1,11
17,60
27,30
11,13
12,54
21,10
1,13
9,16
8,64
10,47
35,32
5,33
17,54
32,53
6,64
29,56
1,62
15,30
30,54
6,57
35,47
16,54
23,30
23,46
30,53
31,59
29,5
23,50
34,5
35,48
7,38
11,47
6,55
32,4
17,41
11,50
8,46
30,45
1,52
16,7
14,13
18,3
9,30
11,38
15,39
27,47
8,67
12,49
4,22
22,60
16,29
8,21
9,42
13,41
14,22
26,53
33,3
33,34
30,45
30,23
10,59
10,36
7,17
24,22
17,62
21,3
34,28
3,58
13,60
19,60
33,48
2,54
29,54
20,27
29,64
27,62
21,40
21,47
