Flower width,Flower height
2,41
3,3
35,13
47,13
36,40
46,22
35,7
18,30
34,12
23,40
13,3
12,45
29,12
29,37
16,39
48,5
26,46
16,5
39,17
26,33
35,6
11,16
22,26
12,23
20,2
38,28
24,24
21,30
3,49
25,2
15,8
35,42
23,30
12,23
39,11
35,42
34,47
20,22
16,23
33,44
3,10
48,25
10,26
23,35
1,29
30,24
26,39
3,50
27,46
11,43
32,5
10,30
24,39
38,32
6,32
17,32
34,16
33,42
9,22
27,4
17,13
11,1
32,9
35,45
2,30
19,43
29,48
14,46
41,50
46,17
45,7
28,4
9,7
22,10
11,38
12,40
8,9
7,30
35,19
8,44
30,47
34,44
19,44
49,8
8,30
32,13
45,35
4,4
11,32
2,49
33,37
9,44
31,13
12,31
2,16
35,27
30,45
4,36
33,1
37,30
16,8
25,37
32,19
36,3
1,16
48,22
37,23
50,40
39,41
1,33
33,47
43,25
2,43
13,28
40,15
34,4
2,32
6,36
7,1
25,47
20,40
28,30
40,6
29,30
4,39
38,18
1,4
47,42
44,43
9,31
43,31
11,20
14,16
5,1
16,45
17,10
46,48
41,6
10,44
2,19
10,37
17,2
31,40
8,9
28,3
15,17
14,33
47,18
37,23
27,43
8,1
20,3
28,33
20,6
38,18
33,33
29,11
5,46
9,3
4,41
4,15
27,22
5,6
13,44
43,39
3,43
17,1
40,4
50,47
17,1
22,6
50,7
14,31
39,13
46,46
19,33
5,48
35,33
46,7
22,24
6,45
39,48
14,6
7,25
23,48
23,27
4,42
43,32
25,31
30,44
4,5
28,33
33,45
45,48
29,19
35,36
14,22
44,42
33,17
43,47
