Flower width,Flower height
23,36
10,15
48,11
17,31
14,18
41,21
25,20
16,31
11,20
11,24
26,31
39,12
14,44
46,24
14,48
27,41
38,32
16,19
41,30
19,33
38,46
48,16
27,24
17,14
34,35
45,32
14,47
49,48
31,46
48,25
31,36
44,12
19,31
38,36
20,14
29,35
46,19
35,22
32,23
17,23
23,24
18,37
38,19
39,15
14,32
24,38
27,19
36,13
20,48
23,22
26,44
38,47
16,50
31,34
24,41
12,26
50,13
17,22
41,27
48,34
24,29
48,24
41,23
31,23
41,22
11,29
25,46
16,20
19,50
41,40
38,46
16,11
34,10
28,48
34,28
45,50
13,22
34,23
34,31
23,25
11,26
49,46
21,42
25,22
41,45
17,42
27,15
29,27
35,46
15,17
27,32
47,36
19,46
25,45
49,19
10,28
40,38
49,49
15,35
50,17
24,29
15,14
40,20
20,49
34,11
36,23
41,50
27,43
34,22
26,26
24,15
14,30
28,31
49,28
14,34
42,28
17,49
17,25
20,14
35,48
10,34
36,48
45,50
40,37
27,42
18,20
45,19
45,38
38,41
29,10
22,34
29,27
43,38
17,32
44,47
14,37
18,37
18,39
42,50
46,21
34,12
39,22
42,34
37,17
42,12
50,43
35,34
48,37
49,41
42,30
30,17
31,24
15,31
23,43
44,42
16,33
30,41
14,39
49,46
35,33
27,22
29,48
22,41
43,50
27,40
38,49
30,29
15,39
17,25
34,34
36,45
18,43
17,47
44,12
38,11
40,39
21,19
18,10
36,29
28,13
42,39
50,48
26,19
34,32
22,40
21,19
27,33
39,13
10,23
36,43
50,20
22,24
37,33
27,37
24,30
22,30
13,30
12,23
22,28
20,50
24,11
10,12
47,19
13,44
42,35
23,29
40,36
41,22
23,30
47,36
39,26
20,14
26,23
27,34
48,35
50,32
19,35
24,19
37,37
34,46
24,23
47,43
37,38
27,46
25,23
47,39
32,32
36,26
10,27
13,38
44,44
16,18
41,26
18,27
19,13
22,14
48,12
17,48
36,47
49,35
21,14
12,26
26,40
19,47
38,19
16,36
42,37
34,47
49,50
18,31
43,10
31,31
11,16
42,21
23,38
26,37
11,48
29,40
45,14
14,21
17,22
10,22
18,37
22,35
38,44
11,50
15,14
45,17
15,27
42,26
48,36
16,20
33,11
41,36
40,20
48,22
20,11
38,38
31,48
13,44
18,34
23,47
44,30
33,39
48,11
14,11
10,34
49,47
40,35
21,10
49,45
17,18
24,25
22,50
17,35
18,21
19,10
13,23
16,14
11,22
50,17
40,41
38,35
26,18
46,26
37,22
36,40
20,48
27,11
47,22
12,22
23,46
31,24
37,26
32,27
31,28
48,38
18,41
17,23
46,20
48,22
26,40
40,14
49,16
44,31
34,13
33,42
28,16
14,11
13,20
15,11
36,29
27,45
36,18
20,32
22,22
38,30
36,14
18,19
24,16
15,46
15,27
22,24
32,35
22,20
13,30
30,43
33,21
33,21
50,16
21,24
37,24
37,24
22,18
37,34
37,34
39,40
26,50
47,23
38,15
34,40
17,13
42,34
21,15
13,39
19,48
20,40
27,26
