Flower width,Flower height
36,6
40,22
4,24
10,49
41,1
14,32
8,33
2,39
46,10
32,7
22,5
13,33
15,40
28,37
29,47
31,17
34,10
16,7
9,36
37,46
26,40
16,33
12,21
33,10
43,40
39,46
24,41
23,5
43,40
35,33
49,7
43,32
22,39
40,9
3,47
48,39
32,27
17,42
13,41
44,5
41,40
50,26
3,24
38,33
20,14
7,28
42,9
26,1
3,12
34,8
15,41
26,31
46,47
45,8
45,17
25,39
40,6
38,6
20,31
35,43
41,3
50,42
29,12
2,33
11,5
47,47
41,12
48,2
4,34
8,13
16,12
43,44
17,1
40,23
28,6
37,2
11,30
15,20
20,33
30,25
15,48
23,15
36,4
8,1
1,6
42,45
9,50
30,42
37,48
33,48
28,39
49,12
6,42
7,16
37,17
7,27
22,17
38,10
33,41
41,10
